rank,word,pos
1,repertoire,noun
2,obtain,verb
3,distribution,noun
4,parameter,noun
5,aspect,noun
6,dynamic,adj
7,impact,noun
8,domain,noun
9,publish,verb
10,denote,verb
11,authority,noun
12,semantic,adj
13,par,noun
14,ion,noun
15,matrix,noun
16,linear,adj
17,cognitive,adj
18,graph,noun
19,correlation,noun
20,linguistic,adj
21,acid,noun
22,induce,verb
23,velocity,noun
24,interval,noun
25,discourse,noun
26,finite,adj
27,stimulus,noun
28,vector,noun
29,electron,noun
30,receptor,noun
31,theorem,noun
32,algorithm,noun
33,fluid,noun
34,developmental,adj
35,bound,verb
36,molecular,adj
37,transformation,noun
38,spatial,adj
39,coefficient,noun
40,translation,noun
41,membrane,noun
42,neuron,noun
43,simulation,noun
44,lexical,adj
45,regime,noun
46,variance,noun
47,molecule,noun
48,marker,noun
49,empirical,adj
50,robot,noun
51,statistical,adj
52,vowel,noun
53,equilibrium,noun
54,intensity,noun
55,regression,noun
56,diagnosis,noun
57,identification,noun
58,node,noun
59,partial,adj
60,correlate,verb
61,mortality,noun
62,antibody,noun
63,temporal,adj
64,particle,noun
65,duration,noun
66,behavioral,adj
67,consumption,noun
68,bilingual,noun
69,sensitivity,noun
70,similarity,noun
71,optimal,adj
72,explicit,adj
73,mutation,noun
74,colonial,adj
75,spectrum,noun
76,phonological,adj
77,nucleus,noun
78,onset,noun
79,integration,noun
80,dominant,adj
81,pathway,noun
82,coordinate,verb
83,calculation,noun
84,precede,verb
85,subset,noun
86,syntactic,adj
87,orientation,noun
88,proposition,noun
89,inequality,noun
90,identical,adj
91,prevalence,noun
92,differential,adj
93,generalize,verb
94,beam,noun
95,pulse,noun
96,norm,noun
97,trait,noun
98,prediction,noun
99,correspondence,noun
100,essentially,adv
101,syllable,noun
102,chromosome,noun
103,infect,verb
104,magnetic,adj
105,configuration,noun
106,numerical,adj
107,namely,adv
108,intermediate,adj
109,transmission,noun
110,dose,noun
111,occurrence,noun
112,maternal,adj
113,axis,noun
114,rational,adj
115,locus,noun
116,elite,noun
117,approximation,noun
118,thesis,noun
119,sin,noun
120,classification,noun
121,threshold,noun
122,syndrome,noun
123,comparative,adj
124,activate,verb
125,adolescent,noun
126,vocabulary,noun
127,utterance,noun
128,encode,verb
129,facilitate,verb
130,incidence,noun
131,induction,noun
132,trajectory,noun
133,manuscript,noun
134,commonly,adv
135,grammatical,adj
136,accuracy,noun
137,amplitude,noun
138,adaptation,noun
139,cortex,noun
140,minimal,adj
141,systematic,adj
142,horizontal,adj
143,synthesis,noun
144,projection,noun
145,diameter,noun
146,cone,noun
147,dependence,noun
148,organism,noun
149,emergence,noun
150,overlap,verb
151,substitution,noun
152,explicitly,adv
153,evident,adj
154,conceptual,adj
155,detection,noun
156,interact,verb
157,neural,adj
158,chronic,adj
159,integral,adj
160,enzyme,noun
161,conception,noun
162,ex,prefix
163,ideology,noun
164,sperm,noun
165,quantitative,adj
166,sphere,noun
167,instability,noun
168,mediate,verb
169,specification,noun
170,classify,verb
171,physician,noun
172,computation,noun
173,oral,adj
174,mid,adj
175,indicator,noun
176,variant,noun
177,evolutionary,adj
178,feedback,noun
179,collective,adj
180,arbitrary,adj
181,fraction,noun
182,estimation,noun
183,nonlinear,adj
184,deviation,noun
185,compact,adj
186,diagram,noun
187,tropical,adj
188,morphology,noun
189,thereby,adv
190,syntax,noun
191,defect,noun
192,separation,noun
193,convergence,noun
194,sufficiently,adv
195,valid,adj
196,interface,noun
197,radiation,noun
198,vertical,adj
199,embed,verb
200,acute,adj
201,utility,noun
202,complement,noun
203,leaf,noun
204,verbal,adj
205,aggregate,noun
206,equality,noun
207,corpus,noun
208,organ,noun
209,gradient,noun
210,methodology,noun
211,entity,noun
212,tumor,noun
213,fiber,noun
214,paradigm,noun
215,psychology,noun
216,infinite,adj
217,diverse,adj
218,diagnostic,adj
