lemma,pos,freq,zipf
you,PRON,57748,7.621357735464617
be,VERB,44051,7.503776559424163
the,DET,40617,7.468528630621892
i,NOUN,38110,7.440859736434588
to,PRT,31104,7.3526370309086015
a,DET,27694,7.302206475530292
it,PRON,26362,7.280799143357323
do,VERB,26041,7.2754784452138415
's,VERB,20781,7.177487230018922
n't,ADV,19243,7.144093567520146
and,CONJ,18378,7.1241190348526375
of,ADP,15868,7.060342979464534
in,ADP,13569,6.992368630128002
have,VERB,13536,6.991311133357369
what,PRON,13220,6.9810522428120425
me,PRON,12783,6.966453576582537
we,PRON,12481,6.9560701708520325
get,VERB,12326,6.950642951057078
that,DET,11846,6.933392515967346
this,DET,11091,6.90479149295519
he,PRON,10413,6.877396656053495
i,ADJ,9855,6.853477416277883
for,ADP,9612,6.842634549794283
on,ADP,9539,6.839323636449822
my,PRON,9427,6.834194294743844
go,VERB,9280,6.8273687638812826
'm,VERB,8965,6.812371081560623
know,VERB,8941,6.811206882542714
your,PRON,8861,6.807303524219339
're,VERB,8212,6.774269728360975
no,DET,8139,6.77039183614368
not,ADV,7705,6.746593430716859
that,ADP,7624,6.742003675292691
's,PRT,7221,6.7184181326571135
all,DET,7071,6.7093016249064075
with,ADP,7059,6.708563969558105
just,ADV,6431,6.668099297245188
here,ADV,6320,6.660537865944805
but,CONJ,6048,6.641432570155571
'll,VERB,6037,6.640641963515893
they,PRON,5648,6.611715475706168
come,VERB,5634,6.610637630312175
i,VERB,5346,6.587849742082939
so,ADV,5100,6.567390963760357
she,PRON,5062,6.564142928484657
if,ADP,4981,6.557137329394804
want,VERB,4895,6.549573483801577
him,PRON,4891,6.549218450483703
think,VERB,4879,6.548151605774687
about,ADP,4866,6.5469928922572205
can,VERB,4812,6.542146406330228
say,VERB,4586,6.521254838056341
at,ADP,4525,6.515439371203643
now,ADV,4434,6.5066164764408905
like,ADP,4400,6.5032734641486085
there,DET,4266,6.489841638775831
good,ADJ,4261,6.489332321862874
how,ADV,4252,6.48841404351368
up,PRT,4247,6.4879030486531
well,ADV,4182,6.481204816144074
see,VERB,4158,6.478705272657871
her,PRON,3863,6.446745495807241
've,VERB,3811,6.440859736434588
take,VERB,3776,6.436852773288452
yeah,NOUN,3621,6.418649312479433
tell,VERB,3491,6.4027706364766
one,NUM,3458,6.398645776600325
make,VERB,3298,6.378071438970921
who,PRON,3202,6.365242115245702
out,PRT,3159,6.35937041356757
would,VERB,3089,6.349638695963871
why,ADV,3024,6.3404025744915895
will,VERB,3019,6.339683900685518
his,PRON,2958,6.330818957323294
time,NOUN,2954,6.330231278638352
na,PRT,2799,6.306823686128583
from,ADP,2763,6.301201672578932
could,VERB,2645,6.2822464640336255
when,ADV,2645,6.2822464640336255
them,PRON,2610,6.2764612950007015
man,NOUN,2602,6.275128079887988
an,DET,2596,6.274125475790752
where,ADV,2584,6.272113296985467
oh,X,2457,6.250225944142501
thing,NOUN,2427,6.244890563994356
some,DET,2395,6.239126305413003
ca,VERB,2392,6.238581962978794
'd,VERB,2380,6.236397744718933
us,PRON,2372,6.234935472354646
as,ADP,2360,6.232732790632527
or,CONJ,2356,6.231996073777485
look,VERB,2313,6.22399642043304
give,VERB,2289,6.219466580336964
right,NOUN,2270,6.215846644855543
then,ADV,2139,6.1900315722339485
hey,NOUN,2097,6.181419218127765
back,ADV,2089,6.179759227642729
something,NOUN,2086,6.179135091752933
right,ADJ,2080,6.177884122625183
out,ADP,2057,6.173055079357145
really,ADV,2042,6.169876525413312
mean,VERB,2019,6.16495710660606
way,NOUN,2018,6.164741949563313
need,VERB,2011,6.163232858259163
let,VERB,2000,6.160850783326402
gon,VERB,1974,6.1551679359960385
yes,NOUN,1957,6.151411613320422
little,ADJ,1945,6.148740393324148
our,PRON,1920,6.143122016365971
by,ADP,1908,6.1403991580304975
too,ADV,1901,6.138802904527864
never,ADV,1800,6.115093292765727
there,ADV,1771,6.108039348852495
find,VERB,1768,6.1073030483394755
very,ADV,1722,6.095853934780057
talk,VERB,1677,6.084353850268506
okay,NOUN,1630,6.072008392066379
look,NOUN,1630,6.072008392066379
should,VERB,1612,6.067185825131492
over,ADP,1602,6.0644832994106395
guy,NOUN,1564,6.05405753638625
down,PRT,1555,6.051551181025277
call,VERB,1548,6.049591744009295
day,NOUN,1528,6.043944141902092
people,NOUN,1527,6.0436598247188416
leave,VERB,1504,6.037068623918044
try,VERB,1458,6.023578311644377
two,NUM,1454,6.02238519418544
any,DET,1449,6.020889173133596
because,ADP,1445,6.019688634754988
let,NOUN,1413,6.00996294951098
thank,NOUN,1359,5.993040244394916
happen,VERB,1350,5.990154556157427
life,NOUN,1282,5.96770881284522
night,NOUN,1279,5.966691332141075
love,VERB,1261,5.960535874235503
anything,NOUN,1256,5.958810427063598
nothing,NOUN,1242,5.953942383502982
right,ADV,1234,5.951135947359644
put,VERB,1233,5.9507838642581525
hear,VERB,1213,5.943681588528994
great,ADJ,1203,5.940086415002265
these,DET,1203,5.940086415002265
i,ADV,1200,5.939002033710046
even,ADV,1191,5.935732549145198
year,NOUN,1188,5.934637228307595
maybe,ADV,1168,5.927263630438802
keep,VERB,1152,5.921273266749614
work,VERB,1135,5.914816649191563
still,ADV,1130,5.912899231145841
god,NOUN,1130,5.912899231145841
kill,VERB,1129,5.9125147295873886
only,ADV,1127,5.911744703708528
like,VERB,1123,5.910200543923879
into,ADP,1122,5.909813644582563
off,PRT,1100,5.901213472820646
before,ADP,1094,5.898838109659833
big,ADJ,1070,5.88920456534763
more,ADJ,1057,5.883895774969847
