word,pos,cefr,zipf,zipf_rank
badly,adv,A2,4.422250821007188,745
cigarette,noun,A2,4.598122684007734,458
circle,noun,A2,4.368375440224333,835
circle,verb,A2,3.80410400978577,2353
use,verb,A2,5.3975085147396715,34
ability,noun,A2,4.400666529202515,777
bean,noun,A2,4.24517140570744,1126
classical,adj,A2,3.5872341988091114,2921
useful,adj,A2,4.107177747959738,1477
able,adj,A2,5.204929706695296,68
bear,noun,A2,4.506610412155482,600
clear,adj,A2,5.063830082104932,100
usually,adv,A2,4.8061477522957565,256
accept,verb,A2,4.872919740361562,217
beat,verb,A2,5.186472253750319,72
clearly,adv,A2,4.477188703164785,655
vacation,noun,A2,4.5215232758256985,573
accident,noun,A2,4.938966437479512,163
beef,noun,A2,4.25446933284543,1096
clerk,noun,A2,4.084149513967624,1532
vegetable,noun,A2,4.071792184588439,1568
climate,noun,A2,3.566494712810874,2965
achieve,verb,A2,4.098944430632054,1498
behave,verb,A2,4.396846241233093,782
close,adj,A2,5.217814872908512,65
video,noun,A2,4.629444379704067,425
act,verb,A2,5.154095882738339,81
behavior,noun,A2,4.452740143155088,694
closed,adj,A2,3.2929029654938327,3595
visit,verb,A2,4.683513689799681,362
visit,noun,A2,4.558875315940682,517
active,adj,A2,4.0428284886531225,1662
belong,verb,A2,4.928325158275348,168
closet,noun,A2,4.466921215926648,674
visitor,noun,A2,4.247145474933157,1120
actually,adv,A2,5.515592899445361,17
belt,noun,A2,4.4524333296616465,696
clothing,noun,A2,4.023487505013884,1726
wait,verb,A2,6.033885632940478,5
adult,adj,A2,3.2794004950901856,3623
benefit,noun,A2,4.2668785908272495,1069
cloud,noun,A2,4.248129154814411,1117
waiter,noun,A2,4.023487505013884,1726
advantage,noun,A2,4.390875256606487,800
best,adv,A2,4.1584057801842205,1335
best,noun,A2,4.490042815864486,632
coach,noun,A2,4.424874964833336,740
wake,verb,A2,4.922541365066459,172
adventure,noun,A2,4.187603229602769,1255
better,adv,A2,4.574678161865076,492
coast,noun,A2,4.18077276930141,1279
walk,verb,A2,5.508448812856921,18
walk,noun,A2,4.560314172525414,512
advertise,verb,A2,3.5346730001934916,3040
code,noun,A2,4.731267692024639,317
wall,noun,A2,4.941661137842926,158
advertisement,noun,A2,3.225956175863219,3699
colleague,noun,A2,4.115924485533258,1452
want,verb,A2,6.559614524428586,1
advertising,noun,A2,3.7972212273477863,2374
biology,noun,A2,3.6113070572272363,2868
collect,verb,A2,4.526468846294019,565
warm,adj,A2,4.662080944531277,388
affect,verb,A2,4.394397534485437,790
birth,noun,A2,4.431688839473242,727
column,noun,A2,4.119242259361118,1439
wash,verb,A2,4.636331656684579,418
bit,noun,A2,5.392217089555573,36
comedy,noun,A2,4.058312998047185,1610
watch,verb,A2,5.640790304572738,11
watch,noun,A2,4.470468910115519,666
blank,adj,A2,3.9431510003054373,1954
blank,noun,A2,3.5894786197315636,2917
comfortable,adj,A2,4.671263780537682,375
water,noun,A2,5.321623571480179,46
block,noun,A2,4.549650156163144,531
comment,noun,A2,4.060588782199311,1603
way,noun,A2,6.1604906965791635,3
airline,noun,A2,3.8733857216100254,2146
blood,noun,A2,5.221016526588751,64
communicate,verb,A2,4.016844247649796,1750
alive,adj,A2,5.182604755068422,73
blow,verb,A2,5.08472246191603,97
community,noun,A2,4.450587882910694,698
wear,verb,A2,5.3575519289474345,41
board,noun,A2,4.768840855770428,293
compete,verb,A2,4.1037661476830705,1488
weather,noun,A2,4.454576486195085,693
right,adj,A2,5.021173906411919,117
right,adv,A2,5.826643905785301,8
boil,verb,A2,3.973774747737055,1870
competition,noun,A2,4.306857402305118,977
website,noun,A2,3.6836939323762063,2674
allow,verb,A2,5.002899374057895,126
bone,noun,A2,4.656169490390774,396
complain,verb,A2,4.452740143155088,694
completely,adv,A2,4.92904274639407,167
downtown,adv,A2,3.6538594079127003,2758
downtown,noun,A2,4.164404418119313,1318
downtown,adj,A2,2.964434721482912,4051
film,noun,A2,4.860625335779377,225
film,verb,A2,3.972849732516421,1872
hit,verb,A2,5.448053022876728,25
hit,noun,A2,4.59014969040112,468
condition,noun,A2,4.689422549410201,358
drama,noun,A2,4.055259948694244,1624
final,noun,A2,3.8108794121324405,2334
hockey,noun,A2,4.031651175500893,1705
conference,noun,A2,4.395098574963573,787
drawing,noun,A2,3.9421583267717595,1956
finally,adv,A2,5.0697227039037545,98
hold,verb,A2,5.743104926824937,10
connect,verb,A2,4.510386909707739,596
dream,noun,A2,5.203897418080652,69
dream,verb,A2,4.78768207616358,279
finger,noun,A2,4.828661958361334,243
hole,noun,A2,4.858100011172623,226
connected,adj,A2,2.0006468941373567,4370
drive,noun,A2,4.805195202525413,257
finish,noun,A2,3.723280816671169,2576
holiday,noun,A2,4.422579707415865,744
consider,verb,A2,4.990185697457859,133
driving,noun,A2,3.7065106064212756,2614
fire,verb,A2,5.003331207127086,124
home,adj,A2,3.748834921143557,2517
contain,verb,A2,4.268756623945835,1058
drop,verb,A2,5.102187766695706,92
first,noun,A2,2.6440995706235437,4251
hope,noun,A2,4.380133707854631,815
context,noun,A2,3.5138644942052957,3103
drug,noun,A2,4.919096636538514,175
fish,verb,A2,4.01516743289528,1756
huge,adj,A2,4.663215861070617,386
continent,noun,A2,3.6480298642519764,2773
dry,adj,A2,4.573982734203424,494
dry,verb,A2,4.071792184588439,1568
fishing,noun,A2,4.294671988232679,1000
human,adj,A2,5.0592247432705815,102
human,noun,A2,4.192097908602252,1246
continue,verb,A2,4.9095606341583276,184
earn,verb,A2,4.517314453236399,582
fit,verb,A2,4.66809984702731,378
fit,adj,A2,3.152935238520413,3829
hurt,verb,A2,5.481716700728514,22
hurt,adj,A2,2.778798144521,4186
control,noun,A2,4.98535418862003,135
control,verb,A2,4.637936441815531,416
earth,noun,A2,4.719148583004631,324
fix,verb,A2,5.104860778336679,90
ideal,adj,A2,3.825423356612902,2281
cook,noun,A2,4.331871675158089,925
easily,adv,A2,4.354755333284757,869
flat,adj,A2,4.364258874029501,847
identify,verb,A2,4.4642412963243565,676
cookie,noun,A2,4.470468910115519,666
education,noun,A2,4.248620160499163,1115
flu,noun,A2,3.9269893407630114,2007
ill,adj,A2,4.197099435840745,1235
copy,noun,A2,4.555983222132623,522
copy,verb,A2,4.186472253750319,1258
effect,noun,A2,4.561509588864821,510
fly,noun,A2,4.027588522096385,1714
illness,noun,A2,3.8982739854277977,2082
corner,noun,A2,4.727862715045849,320
flying,noun,A2,3.6818881315129435,2677
flying,adj,A2,3.701350611282376,2629
image,noun,A2,4.47689869014439,657
correctly,adv,A2,3.7873983162829177,2408
electric,adj,A2,4.151096303598237,1353
focus,verb,A2,4.566494712810874,500
focus,noun,A2,3.5894786197315636,2917
immediately,adv,A2,4.683513689799681,362
count,verb,A2,4.8944086561953,194
electrical,adj,A2,3.8938536471972043,2096
following,adj,A2,3.7030774305828817,2624
impossible,adj,A2,4.713969399124384,329
couple,noun,A2,5.3485230937471595,43
electricity,noun,A2,4.027588522096385,1714
foreign,adj,A2,4.263572363469188,1076
included,adj,A2,1.3016768898013378,4390
cover,verb,A2,5.1134529114042415,87
electronic,adj,A2,3.765569878787245,2469
forest,noun,A2,4.221277913585449,1178
crazy,adj,A2,5.420338352655834,31
elevator,noun,A2,4.4075275641864815,766
fork,noun,A2,3.80410400978577,2353
increase,verb,A2,4.050639751057499,1637
increase,noun,A2,3.6671648746922374,2725
creative,adj,A2,3.9980332785346695,1811
employ,verb,A2,3.9004673965644527,2073
formal,adj,A2,3.8971731116269117,2086
incredible,adj,A2,4.534673000193491,548
credit,noun,A2,4.659802175077987,392
employee,noun,A2,4.35858174113781,862
fortunately,adv,A2,3.9421583267717595,1956
independent,adj,A2,3.93716063661625,1976
crime,noun,A2,4.888601597946158,198
employer,noun,A2,3.79303858363561,2391
forward,adv,A2,4.869173780905561,220
individual,noun,A2,3.7047974109771555,2618
individual,adj,A2,4.021836193207294,1732
criminal,noun,A2,4.225956175863219,1176
empty,adj,A2,2.2047668767932813,4351
free,adv,A2,3.6943738430610034,2646
industry,noun,A2,4.077651220930707,1547
cross,verb,A2,4.895184479133103,193
cross,noun,A2,3.9411633790699234,1964
ending,noun,A2,4.0451866545297674,1657
fresh,adj,A2,4.672004897580848,372
informal,adj,A2,3.2047668767932813,3736
crowd,noun,A2,4.534418952522074,549
energy,noun,A2,4.522569139020857,569
frog,noun,A2,4.113251895671931,1459
injury,noun,A2,4.246652798213385,1122
crowded,adj,A2,3.925958985637006,2010
engine,noun,A2,4.577448789966269,486
insect,noun,A2,3.768544510155447,2463
cry,verb,A2,5.031327558137258,112
engineer,noun,A2,4.1037661476830705,1488
furniture,noun,A2,4.160815187095869,1326
inside,noun,A2,3.418948185457102,3323
curly,adj,A2,3.366134879028256,3431
enormous,adj,A2,3.9874186284036015,1832
instead,adv,A2,4.89893317272648,190
cycle,noun,A2,3.820190829679225,2299
cycle,verb,A2,2.602706885465319,4270
enter,verb,A2,4.773555089108628,286
future,adj,A2,4.8837402527130465,205
instruction,noun,A2,4.246159561951506,1124
daily,adj,A2,4.012640008796613,1763
environment,noun,A2,4.123844969169355,1425
gallery,noun,A2,3.9249261801992383,2011
instructor,noun,A2,3.7314291698037456,2560
danger,noun,A2,4.630871304889789,423
equipment,noun,A2,4.402736244709454,774
gap,noun,A2,3.5939329611578135,2903
instrument,noun,A2,4.113251895671931,1459
dark,noun,A2,4.032459165467727,1702
error,noun,A2,4.021836193207294,1732
garbage,noun,A2,4.399627960795488,779
intelligent,adj,A2,4.113251895671931,1459
especially,adv,A2,4.82827459890479,244
gas,noun,A2,4.795692264558482,270
international,adj,A2,4.089845260942505,1519
dead,adj,A2,5.600224324880044,14
essay,noun,A2,3.8482195532794687,2216
gate,noun,A2,4.518370488971092,580
introduction,noun,A2,3.718317397139619,2589
deal,verb,A2,4.947786411780186,152
everyday,adj,A2,3.973774747737055,1870
general,adj,A2,4.577218578202647,487
invent,verb,A2,4.3505069763296875,876
death,noun,A2,5.305525011835636,49
gift,noun,A2,4.8873631682538345,199
invention,noun,A2,3.8882641944730927,2115
decision,noun,A2,4.852882833549244,227
evidence,noun,A2,4.8800868601325735,209
goal,noun,A2,4.308570597749238,969
invitation,noun,A2,4.252528348689884,1103
