word,pos,cefr,sense_id,sense_hint,sense_zipf,global_zipf_rank
want,verb,A2,desire.v.01,feel or have a desire for; want strongly,6.5402,1
need,modalv,B1,need.n.01,a condition requiring relief,6.1841,2
guy,noun,A2,guy.n.01,an informal term for a youth or man,6.0991,3
kill,verb,A2,kill.v.01,"cause to die; put to death, usually intentionally or knowingly",5.9163,4
sir,noun,A2,sir.n.01,term of address for a man,5.9062,5
way,noun,A2,manner.n.01,how something is done or how it happens,5.8565,6
wait,verb,A2,wait.v.01,stay in one place and anticipate or expect something,5.777,7
kid,noun,A2,child.n.01,a young person of either sex,5.7615,8
hell,noun,B2,hell.n.01,any place of pain and turmoil,5.6105,9
dead,adj,A2,dead.a.01,no longer having or seeming to have or expecting to have life,5.5245,10
little,adv,A2,little.r.01,not much,5.5171,11
walk,verb,A2,walk.v.01,use one's feet to advance; advance by steps,5.4876,12
have,auxiliaryv,A2,rich_person.n.01,a person who possesses great material wealth,5.4762,13
way,noun,A2,means.n.01,how a result is obtained or an end is achieved,5.4497,14
wait,verb,A2,wait.v.02,wait before acting,5.4345,15
gun,noun,A2,gun.n.01,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),5.4231,16
worry,verb,B1,worry.v.01,"be worried, concerned, anxious, troubled, or uneasy",5.4227,17
use,verb,A2,use.v.01,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,5.3832,18
actually,adv,A2,actually.r.01,in actual fact,5.3817,19
exactly,adv,A2,precisely.r.01,indicating exactness or preciseness,5.3753,20
lady,noun,A2,lady.n.01,a polite name for any woman,5.3637,21
shut,verb,A2,close.v.01,move so that an opening or passage is obstructed; make shut,5.3457,22
mind,noun,A2,mind.n.01,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,5.3329,23
watch,verb,A2,watch.v.01,look attentively,5.3223,24
talk,noun,B1,talk.n.01,an exchange of ideas via conversation,5.2995,25
crazy,adj,A2,brainsick.s.01,affected with madness or insanity,5.2954,26
right,adv,A2,right.r.01,"precisely, exactly",5.2915,27
right,adv,A2,right.r.02,immediately,5.2593,28
suppose,verb,B1,suppose.v.01,express a supposition,5.2571,29
pick,verb,A2,pick.v.01,select carefully from a group,5.2558,30
wear,verb,A2,wear.v.01,be dressed in,5.2513,31
cool,verb,B1,cool.v.01,make cool or cooler,5.2487,32
stupid,adj,B1,stupid.a.01,lacking or marked by lack of intellectual acuity,5.2338,33
deal,noun,B1,deal.n.01,a particular instance of buying or selling,5.2242,34
rest,noun,A2,remainder.n.01,something left after other parts have been taken away,5.2128,35
cop,noun,B2,bull.n.05,uncomplimentary terms for a policeman,5.2036,36
mind,verb,A2,mind.v.01,"be offended or bothered by; take offense with, be bothered by",5.201,37
gentleman,noun,B1,gentleman.n.01,a man of refinement,5.1932,38
pull,verb,A2,pull.v.01,cause to move by pulling,5.1924,39
water,noun,A2,water.n.01,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,5.1915,40
right,adv,A2,right.r.03,exactly,5.1868,41
blood,noun,A2,blood.n.01,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets",5.1863,42
expect,verb,A2,expect.v.01,regard something as probable or likely,5.1714,43
honey,noun,B2,honey.n.01,a sweet yellow liquid produced by bees,5.1705,44
marry,verb,A2,marry.v.01,take in marriage,5.1602,45
safe,adj,A2,safe.a.01,free from danger or the risk of harm,5.1542,46
matter,noun,A2,topic.n.02,some situation or event that is thought about,5.1499,47
matter,noun,A2,matter.n.01,a vaguely specified concern,5.1499,48
watch,verb,A2,watch.v.02,follow with the eyes or the mind,5.1491,49
able,adj,A2,able.a.01,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,5.1453,50
lie,verb,B1,lie.v.01,be located or situated somewhere; occupy a certain position,5.1445,51
throw,verb,A2,throw.v.01,propel through the air,5.1429,52
bet,verb,B1,bet.v.01,maintain with or as if with a bet,5.1428,53
steal,verb,B1,steal.v.01,take without the owner's consent,5.136,54
save,verb,A2,salvage.v.01,"save from ruin, destruction, or harm",5.1294,55
dream,noun,A2,dream.n.01,a series of mental images and emotions occurring during sleep,5.1247,56
ahead,adv,B1,ahead.r.01,at or in the front,5.1211,57
bit,noun,A2,spot.n.10,a small piece or quantity of something,5.1192,58
scared,adj,A2,frightened.s.01,made afraid,5.1094,59
alive,adj,A2,alive.a.01,possessing life,5.0983,60
glad,adj,B1,glad.a.01,showing or causing joy and pleasure; especially made happy,5.0925,61
hold,verb,A2,keep.v.01,"keep in a certain state, position, or activity; e.g.,",5.0731,62
suppose,verb,B1,think.v.02,"expect, believe, or suppose",5.068,63
absolutely,adv,B1,absolutely.r.01,completely and without qualification; used informally as intensifiers,5.0563,64
stuff,noun,B1,material.n.01,the tangible substance that goes into the makeup of a physical object,5.0543,65
stuff,noun,B1,stuff.n.02,miscellaneous unspecified objects,5.0543,66
